
how long have it be since you review the objective of you benefit and service program,how bn:00106124a have it bn:00083181v since you bn:00092618v the bn:00002179n of you bn:00009904n and bn:00070654n bn:00064646n
in a mobile society congregational health depend_on a constant process of recruitment this recruitment however must follow the pattern of economic integration or it will disrupt the congregation therefore the recruitment or missionary outreach of the congregation will be co-optation rather than proclamation like element will have to be assimilate,in a bn:00106816a bn:00072566n bn:00100267a bn:00043358n bn:00086607v a constant process of bn:00030933n this bn:00030933n bn:00114216r must bn:00085593v the bn:00022334n of bn:00102001a bn:00026516n or it will bn:00087027v the bn:00021837n bn:00115635r the bn:00030933n or bn:00055327n bn:00059801n of the bn:00021837n will bn:00083182v bn:00020112n rather than bn:00004352n like bn:00021394n will have to be bn:00082863v
evangelism and congregational outreach have not be carefully study in the church one study in pittsburgh however have illuminate the situation,evangelism and bn:00100267a bn:00059801n have bn:00116360r be bn:00114671r bn:00082596v in the bn:00018819n one bn:00074790n in bn:00062679n bn:00114216r have bn:00085084v the bn:00071869n
in a sample of new member of pittsburgh church almost 60 percent be recruit by initial `` contact with friendly member ``,in a bn:00069078n of bn:00107267a bn:00034004n of bn:00062679n bn:00018819n bn:00114079r bn:00096046a bn:00061135n be bn:00087662v by bn:00105119a `` bn:00022112n with bn:00103344a bn:00034004n ``
if we add to these contact with friendly member the `` contact with a organization of the church `` 11.2 percent of the case then a substantial two third of all recruitment be through friendly contact,if we bn:00082317v to these bn:00022112n with bn:00103344a bn:00034004n the `` bn:00022112n with a bn:00059480n of the bn:00018819n `` 11.2 bn:00061135n of the bn:00016401n bn:00117250r a bn:00110620a bn:00095950a bn:00058990n of bn:00096798a bn:00030933n bn:00083181v through bn:00103344a bn:00022112n
on the surface this seem a sound approach to christian mission member of the congregation show by they friendly attitude that they care_for new people the new people respond in_kind by join the church,on the bn:00075375n this bn:00082690v a bn:00110939a bn:00005141n to bn:00099655a bn:00055325n bn:00034004n of the bn:00021837n bn:00086567v by they bn:00103344a bn:00007047n that they bn:00084530v bn:00107267a bn:00061450n the bn:00107267a bn:00061450n bn:00092421v bn:00115786r by bn:00088013v the bn:00018819n
missionary outreach by friendly contact look somewhat different when one reflect on what be known about friendly contact in metropolitan neighborhood the majority of such contact be with people of similar social and economic position association by level of achievement be the dominant principle of informal relations,bn:00055327n bn:00059801n by bn:00103344a bn:00022112n bn:00082690v bn:00116286r bn:00101348a when one bn:00084889v on what be bn:00105645a about bn:00103344a bn:00022112n in bn:00106679a bn:00057221n the bn:00013767n of such bn:00022112n bn:00083181v with bn:00061450n of bn:00096782a bn:00110842a and bn:00102001a bn:00063703n bn:00006540n by bn:00041239n of bn:00000724n bn:00083182v the bn:00101687a bn:00064426n of bn:00105084a bn:00025569n
this mean that the antenna of the congregation be extend into the community pick_up the wavelength of those who will fit into the social and economic level of the congregation the mission of the church be actually a process of informal co-optation the lay ministry be a means to recruit like-minded people who will strengthen the social_class nucleus of the congregation,this bn:00087672v that the bn:00004500n of the bn:00021837n be bn:00087907v into the bn:00021248n bn:00091603v the bn:00080702n of those who will bn:00085591v into the bn:00110842a and bn:00102001a bn:00041239n of the bn:00021837n the bn:00017793n of the bn:00018819n bn:00083182v bn:00114117r a bn:00064536n of bn:00105085a bn:00020112n the bn:00105688a bn:00055178n bn:00083182v a bn:00001965n to bn:00087662v bn:00105979a bn:00061450n who will bn:00083317v the bn:00019478n bn:00022626n of the bn:00021837n
church can be strengthen through this process of co-optation so long as the environs of the church provide a sufficient pool of people who can fit the pattern of economic integration once the pool of recruit diminish the congregation be helpless friendly contact no_longer keep it go,bn:00018819n can be bn:00083317v through this bn:00064536n of bn:00020112n so long as the bn:00031075n of the bn:00018819n bn:00088643v a bn:00111418a bn:00063535n of bn:00061450n who can bn:00085591v the bn:00022334n of bn:00102001a bn:00026516n bn:00116442r the bn:00063535n of bn:00030932n bn:00086417v the bn:00021837n bn:00083181v bn:00104096a bn:00103344a bn:00022112n bn:00116353r bn:00085714v it bn:00087617v
the transmutation of mission to co-optation be further indicate by the insignificance of educational_activity worship preaching and publicity in reach new member,the bn:00078033n of bn:00055325n to bn:00020112n be bn:00115329r bn:00086679v by the bn:00046909n of bn:00026980n bn:00081651n bn:00027522n and bn:00060113n in bn:00085696v bn:00107267a bn:00034004n
the proclamation of the church be almost totally confine to pastoral contact by the clergy 17.3 percent of new member and friendly contact by member over two third if organizational activity be include,the bn:00004352n of the bn:00018819n be bn:00114079r bn:00114203r bn:00083834v to bn:00108328a bn:00022112n by the bn:00019726n 17.3 bn:00061135n of bn:00107267a bn:00034004n and bn:00103344a bn:00022112n by bn:00034004n over bn:00095950a bn:00058990n if bn:00107970a bn:00001128n be bn:00089661v
publicity account for 1.1 percent of the initial contact with new member,bn:00060113n account for 1.1 bn:00061135n of the bn:00105119a bn:00022112n with bn:00107267a bn:00034004n
in_general friendly contact with a member follow by contact with a clergyman will account for a major share of recruitment by the church make it quite evident that the extension of economic integration through co-optation be the principal form of mission in the contemporary church economic integration and co-optation be the two method by which protestant associate with and recruit from the neighborhood,bn:00115495r bn:00103344a bn:00022112n with a bn:00034004n bn:00085342v by bn:00022112n with a bn:00019727n will account for a bn:00106334a bn:00060768n of bn:00030933n by the bn:00018819n bn:00088736v it bn:00116771r bn:00097350a that the bn:00032412n of bn:00102001a bn:00026516n through bn:00020112n bn:00083182v the bn:00099598a bn:00035907n of bn:00055325n in the bn:00100361a bn:00018819n bn:00102001a bn:00026516n and bn:00020112n bn:00083182v the bn:00095950a method by which bn:00064865n bn:00082432v with and bn:00087662v from the bn:00057221n
the inner life of congregation will prosper so long as like-minded people of similar social and economic level can fraternize together the outer life of congregation the suitability of the environment to they survival will be propitious so long as the people in the area be of the same social and economic level as the membership,the bn:00105130a bn:00051045n of bn:00021837n will prosper so long as bn:00105979a bn:00061450n of bn:00096782a bn:00110842a and bn:00102001a bn:00041239n can bn:00088538v bn:00117321r the bn:00108049a bn:00051045n of bn:00021837n the bn:00075107n of the bn:00031074n to they bn:00030811n will bn:00083181v bn:00109121a so long as the bn:00061450n in the bn:00005513n bn:00083181v of the bn:00110076a bn:00110842a and bn:00102001a bn:00041239n as the bn:00054281n
economic integration cease when the social and economic status in a area become too mixed or conflict with the status of the congregation,bn:00102001a bn:00026516n bn:00084711v when the bn:00110842a and bn:00102001a bn:00063703n in a bn:00005513n bn:00083293v bn:00115274r bn:00097622a or bn:00085589v with the bn:00063703n of the bn:00021837n
in a rapidly changing society congregation will run_into difficulty repeatedly since such nice balance of economic integration be hard to sustain in the metropolis for more than a single generation,in a bn:00114307r bn:00099523a bn:00072566n bn:00021837n will bn:00087597v bn:00027043n bn:00116826r since such bn:00107292a bn:00008045n of bn:00102001a bn:00026516n bn:00083181v bn:00101358a to bn:00090070v in the bn:00019319n for more than a bn:00104971a bn:00037676n
the fact that metropolitan church of the major denomination have move approximately every generation for the last hundred year become somewhat more intelligible in the light of this struggle to maintain economic balance,the bn:00032654n that bn:00106679a bn:00018819n of the bn:00106334a bn:00026245n have bn:00088912v bn:00114073r bn:00102466a bn:00037677n for the bn:00105739a bn:00095890a bn:00078738n bn:00083293v bn:00116286r bn:00116284r bn:00097389a in the bn:00051110n of this bn:00009079n to bn:00085644v bn:00102001a bn:00008043n
the expense of this type of organization in religious life when one recall the number of city church which deteriorate beyond repair before be abandon raise fundamental question about the principle of protestant survival in a mobile society nonetheless the prevalence of economic integration in congregation illumine the nature of the protestant development,the bn:00027451n of this bn:00078798n of bn:00005863n in religious bn:00051045n when one bn:00084413v the bn:00058285n of bn:00019319n bn:00018995n which bn:00086712v beyond bn:00034919n before be bn:00082120v bn:00092333v bn:00099258a bn:00043267n about the bn:00064428n of bn:00109148a bn:00030811n in a bn:00106816a bn:00072566n bn:00114216r the bn:00064294n of bn:00102001a bn:00026516n in bn:00021837n bn:00089584v the bn:00057015n of the bn:00109148a bn:00026696n
it be observe in the introductory chapter that metropolitan life have split into two trend expand interdependence on a impersonal basis and grow exclusiveness in local communal grouping,it be bn:00090740v in the bn:00105352a bn:00017730n that bn:00106679a bn:00051045n have bn:00083928v into bn:00095950a bn:00076496n expand bn:00047072n on a bn:00104660a bn:00008870n and grow bn:00019436n in local bn:00100102a bn:00041942n
these trend seem to be work at cross-purpose in the metropolis,these bn:00076496n bn:00082690v to be work at bn:00023964n in the bn:00019319n
residential association struggle to insulate themselves against intrusion,bn:00109715a bn:00006539n bn:00088159v to bn:00089800v themselves against bn:00030707n
the motif of impersonal interdependence and insulation of residential community have polarize the schism between central_city and suburb negro and white blue-collar and white-collar can be view_as symptomatic of this deep polarization of trend in the metropolis,the bn:00056025n of bn:00104660a bn:00047072n and bn:00026620n of bn:00109715a bn:00021248n have bn:00091815v the bn:00069586n between bn:00017178n and bn:00075008n bn:00010820n and bn:00016822n bn:00098615a and bn:00113840a can be bn:00086435v symptomatic of this bn:00101044a bn:00063286n of bn:00076496n in the bn:00019319n
it now become evident that the denominational church be intimately involve with the economy of middle-class culture for it serve to crystallize the social_class identity of middle-class residential grouping,it bn:00116382r bn:00083293v bn:00097350a that the bn:00101172a bn:00018819n be bn:00114751r involve with the bn:00029678n of bn:00106705a bn:00024369n for it bn:00093510v to bn:00086129v the bn:00019478n bn:00045824n of bn:00106705a bn:00109715a bn:00041942n
the accelerate pace of metropolitan change have accentuate the drive to conformity in congregation of the major denomination,the accelerate bn:00060063n of bn:00106679a bn:00003125n have bn:00082195v the bn:00028777n to bn:00021774n in bn:00021837n of the bn:00106334a bn:00026245n
this conformity represent a desperate attempt to stabilize a hopelessly unstable environment,this bn:00021774n bn:00085839v a bn:00101241a bn:00007011n to bn:00094238v a bn:00115688r bn:00113268a bn:00031074n
more than creature of metropolitan force the church have take the lead in counteract the interdependence of metropolitan life crystallize and perpetuate the stratification of people give form to the struggle for social homogeneity in a world of heterogeneous people,more than bn:00023662n of bn:00106679a bn:00035767n the bn:00018819n have bn:00082277v the bn:00050342n in bn:00085871v the bn:00047072n of bn:00106679a bn:00051045n bn:00086129v and bn:00091560v the bn:00074560n of bn:00061450n bn:00088814v bn:00035908n to the bn:00009079n for bn:00110842a bn:00044587n in a bn:00022991n of bn:00104134a bn:00061450n
since american life be committed above_all to productivity and a high standard of economic life the countervail force of residential and religious exclusiveness have fight a desperate rearguard action against the expand interdependence of the metropolis,since bn:00096963a bn:00051045n bn:00083181v bn:00100088a bn:00114082r to bn:00064598n and a bn:00104162a bn:00023853n of bn:00102001a bn:00051045n the countervail bn:00035767n of bn:00109715a and religious bn:00019436n have bn:00086455v a bn:00101241a bn:00066438n bn:00001127n against the expand bn:00047072n of the bn:00019319n
consumer community have suffer at the hand of the productive interest,bn:00022095n bn:00021248n have bn:00094574v at the hand of the bn:00109059a bn:00047082n
negro puerto_rican and rural newcomer be slowly make they way into the city,bn:00010820n bn:00065137n and bn:00109998a bn:00031048n be bn:00115161r make they way into the bn:00019319n
soon they will fight they way into the lower middle-class suburb and the church will experience the same decay and rebuilding cycle which have characterize they history for a century,bn:00114513r they will bn:00088159v they bn:00027352n into the lower bn:00106705a bn:00075008n and the bn:00018819n will bn:00087861v the bn:00110076a bn:00025675n and bn:00066466n bn:00024726n which have bn:00084800v they bn:00044267n for a bn:00017234n
the identification of the basic unit of religious organization the parish or congregation with a residential area be self-defeating in a modern metropolis for it simply mean the closing of a iron_trap on the outreach of the christian fellowship and the transmutation of mission to co-optation,the bn:00026542n of the bn:00098100a bn:00013726n of religious bn:00005863n the bn:00060680n or bn:00021837n with a bn:00109715a bn:00005513n bn:00083181v bn:00110309a in a bn:00106831a bn:00019319n for it bn:00116053r bn:00087672v the bn:00019964n of a bn:00047516n on the bn:00059801n of the bn:00099655a bn:00032897n and the bn:00078033n of bn:00055325n to bn:00020112n
mission to the metropolis contradict survival of the congregation in the residential community because the middle_class be fight metropolitan interdependence with residential exclusion,bn:00055325n to the bn:00019319n bn:00083367v bn:00030811n of the bn:00021837n in the bn:00109715a bn:00021248n because the bn:00012441n be bn:00086455v bn:00106679a bn:00047072n with bn:00109715a bn:00032152n
this interpretation of the role of residence in the economy of middle-class culture could lead to various projection for the church,this bn:00047196n of the bn:00036823n of bn:00000355n in the bn:00029678n of bn:00106705a bn:00024369n could bn:00090243v to bn:00097623a bn:00064667n for the bn:00018819n
it could be argue that any fellowship which center in residential neighborhood be doom to become a expression of the panic for stable identity among the middle_class,it could be bn:00082754v that bn:00097285a bn:00032897n which bn:00084725v in bn:00109715a bn:00057221n be bn:00086680v to bn:00083294v a bn:00032391n of the bn:00060396n for bn:00111108a bn:00045824n among the bn:00012441n
it could be argue that only such neighborhood can sustain religious activity since worship presuppose some local stability,it could be bn:00082754v that bn:00114234r such bn:00057221n can bn:00090070v religious bn:00001128n since bn:00081651n bn:00092002v bn:00110911a local bn:00073788n
whatever projection one make the striking fact about congregational and parochial life be the extent to which it be a vehicle of the social identity of middle-class people,whatever bn:00064667n one make the bn:00101788a bn:00032654n about bn:00100267a and bn:00108280a bn:00051045n bn:00083182v the bn:00032425n to which it bn:00083182v a bn:00079676n of the bn:00110842a bn:00045824n of bn:00106705a bn:00061450n
attention will be give in the next chapter to the style of association in the denominational church this style be characteristically a expression of the communal style of the middle_class,bn:00007020n will be bn:00086761v in the bn:00103172a bn:00017730n to the bn:00033729n of bn:00006540n in the bn:00101172a bn:00018819n this bn:00033729n bn:00083182v bn:00114699r a bn:00032391n of the bn:00100102a bn:00033729n of the bn:00012441n
the keynote of this style be activism and emphasis on achievement in gain self-esteem,the bn:00049016n of this bn:00033729n bn:00083182v bn:00001170n and bn:00000639n on bn:00000724n in bn:00082790v bn:00070351n
these values give direction to the life of the middle-class man or woman dictate the method of child rearing determine the pattern of community participation set the style for the psychiatric treatment of middle-class illness and inform the congregational life of the major denomination,these bn:00079516n bn:00088814v bn:00023134n to the bn:00051046n of the bn:00106705a bn:00001533n or bn:00001530n bn:00086778v the bn:00054625n of bn:00018345n bn:00012993n bn:00086714v the bn:00022334n of bn:00021248n bn:00030844n bn:00086714v the bn:00074832n for the bn:00109185a bn:00047235n of bn:00106705a bn:00045952n and bn:00089725v the bn:00100267a bn:00051045n of the bn:00106334a bn:00026245n
`` fellowship by likeness `` and `` mission by friendly contact `` form the iron_cage of denominational religion,`` bn:00032897n by bn:00002744n `` and `` bn:00055325n by bn:00103344a bn:00022112n `` bn:00085670v the bn:00047500n of bn:00101172a bn:00032768n
its content be another matter for they reveal the kind of interest pursue by the congregation,its bn:00022153n bn:00083181v bn:00097165a bn:00001734n for they bn:00084097v the bn:00035907n of bn:00047077n bn:00087628v by the bn:00021837n
what go_on in the cage will occupy we attention under the rubric of the organization church,what bn:00085337v in the bn:00014575n will bn:00084317v we bn:00007020n under the bn:00068475n of the bn:00059482n bn:00018819n
a understanding of the new role of residential association in a industrial society serve to illuminate the force which have fashion the iron_cage of conformity which imprison the church in they suburban captivity,a bn:00005134n of the bn:00107267a bn:00036823n of bn:00109715a bn:00006540n in a bn:00104996a bn:00072566n bn:00093510v to bn:00085084v the bn:00035767n which have bn:00088048v the bn:00047500n of bn:00021777n which bn:00089642v the bn:00018819n in they bn:00111406a bn:00015772n
the perplexing question still remain as to why the middle_class turn to the church as a vehicle of social identity when they club and charity should fill the same need,the bn:00100255a bn:00043267n bn:00114216r bn:00092757v as to why the bn:00012441n turn to the bn:00018819n as a bn:00079676n of bn:00110842a bn:00045824n when they bn:00020039n and bn:00017818n should bn:00088179v the bn:00110075a bn:00057164n
while no larger than location this mining supply town have the appearance of be far busy and more prosperous,while bn:00116348r bn:00098361a than bn:00051760n this bn:00032111n bn:00075323n bn:00077773n bn:00088078v the bn:00005023n of bn:00083181v bn:00115322r bn:00099057a and bn:00116284r bn:00098691a
man crowd the street and freight rig and team be move about,bn:00001533n bn:00086091v the bn:00074595n and bn:00016047n bn:00067797n and bn:00076303n be bn:00088912v bn:00114076r
although they be force to maintain a sharp watch this activity enable they to ride in and rack they bronc without any particular attention be pay they,although they be bn:00085252v to bn:00089384v a bn:00096409a bn:00079990n this bn:00001172n bn:00087587v they to bn:00093013v bn:00115781r and bn:00092284v they bn:00013306n without any bn:00102398a bn:00007020n be bn:00088817v they
`` person 'll be holdin forth in some bar if he be here at_all `` person declare glance along the street as they stretch they leg,`` bn:00046516n 'll bn:00083181v holdin forth in some bn:00008462n if he be bn:00115639r bn:00114403r `` bn:00046516n bn:00086380v bn:00088869v along the bn:00074595n as they bn:00087909v they bn:00050541n
there be no less than six or seven saloon in location not count the lower_class dive all vie for the trade of celebrate miner and teamster,there bn:00083181v bn:00116348r bn:00116105r than bn:00096044a or bn:00096060a bn:00040492n in bn:00051760n bn:00116360r bn:00085863v the bn:00052190n bn:00027849n all bn:00085468v for the bn:00061050n of bn:00084715v bn:00055123n and bn:00076306n
person only nod,bn:00046516n bn:00114626r bn:00091072v
`` take one side of the street and i 'll take the other `` he propose,`` bn:00084931v one bn:00071431n of the bn:00074595n and i 'll bn:00084931v the bn:00108011a `` he bn:00082417v
`` if you spot person give a yell before you move_in ``,`` if you bn:00086664v bn:00046516n bn:00088823v a bn:00014793n before you bn:00090955v ``
person 's assent be tight,bn:00046516n 's bn:00000994n bn:00083181v bn:00106524a
`` you do the same,`` you bn:00087106v the same
it be all i ask person ``,it be all i bn:00082818v bn:00046516n ``
separate they take different side of the main_drag and systematically comb the bar,bn:00091446v they bn:00084931v bn:00101347a bn:00071431n of the bn:00052850n and bn:00114825r bn:00085310v the bn:00008462n
person visit two place without result and he blood_pressure be down to zero,bn:00046516n bn:00089777v bn:00095950a bn:00062700n without bn:00034520n and he bn:00011386n bn:00083181v bn:00101754a to bn:00114016a
suddenly it seem to he insane that they might hope to locate person so casually even be he to prove the thief,bn:00114210r it bn:00082690v to he bn:00103973a that they might bn:00088954v to bn:00090423v bn:00046516n bn:00117043r bn:00114677r bn:00115244r be he to bn:00086567v the bn:00074094n
he tramp out of the location with he hope plummet and head doggedly for the location the last place of any consequence on this side of the street,he bn:00095070v out of the bn:00051760n with he bn:00044738n bn:00091773v and bn:00089259v bn:00115089r for the bn:00051760n the bn:00102969a bn:00062700n of any bn:00021962n on this bn:00071431n of the bn:00074595n
the location be a elaborate establishment build practically on stilt in_front with long flight of wooden steps run up to the porch,the bn:00051760n bn:00083181v a bn:00102066a bn:00031642n bn:00084198v bn:00116668r on bn:00062387n bn:00114182r with bn:00106126a bn:00035208n of bn:00113923a bn:00073853n bn:00087905v up to the bn:00063608n
behind its ornate facade the notorious dive cling like a bird 's nest to the rocky rib of the canyonside,behind its ornate bn:00032598n the bn:00104549a bn:00027849n bn:00082344v like a bn:00010605n 's bn:00057353n to the bn:00098748a bn:00067688n of the bn:00015395n
person run up the steps quickly to the plank porch,bn:00046516n bn:00093170v up the bn:00073853n bn:00114307r to the bn:00011639n bn:00063608n
the front window of the place be long and narrow reach nearly to the floor and afford a unusually good view of the interior,the bn:00035855n bn:00081285n of the bn:00062700n bn:00083181v bn:00106125a and bn:00107118a bn:00087917v bn:00114079r to the bn:00035304n and bn:00082442v a bn:00116498r bn:00103395a bn:00071511n of the bn:00046891n
head for the batwing person glance perfunctorily through the near window and suddenly dodge aside,bn:00089259v for the bn:00009190n bn:00046516n bn:00088869v bn:00114355r through the bn:00099859a bn:00081285n and bn:00114089r bn:00087139v bn:00114376r
nerve tight as a bowstring he pause to gather he wit,bn:00057322n bn:00111673a as a bn:00012519n he bn:00089324v to bn:00085289v he bn:00012680n
against all expectation person be inside clearly enjoy himself to_the_hilt and already so tipsy that it seem unlikely he be bother to note anything or anyone about he,against all bn:00032286n bn:00046516n bn:00083183v bn:00115906r bn:00114740r bn:00083145v himself bn:00117314r and bn:00114245r bn:00117043r bn:00108869a that it bn:00082690v bn:00104703a he be bn:00083808v to bn:00090661v anything or anyone about he
fierce anger surge through person,bn:00102943a bn:00004085n bn:00094002v through bn:00046516n
he fight_down the impulse to rush in and collar the vicious puncher on_the_spot,he bn:00086455v the bn:00015704n to bn:00083395v in and bn:00082728v the bn:00102475a bn:00016814n bn:00116437r
reach the porch rail beyond view of the bar window he feverishly scan the busy street below,bn:00082790v the bn:00063608n bn:00066008n beyond bn:00071511n of the bn:00008462n bn:00081285n he bn:00115362r bn:00088871v the bn:00099060a bn:00074595n bn:00114527r
person be nowhere in_sight,bn:00046516n bn:00083181v bn:00116387r bn:00104749a
muffle a exclamation person spring to the near steps and run_down,bn:00090972v a bn:00032149n bn:00046516n bn:00083833v to the bn:00099859a bn:00073853n and bn:00093190v
as luck have it he have not go twenty foot in the street before person appear,as bn:00017622n bn:00084700v it he have bn:00116360r bn:00088912v bn:00095952a bn:00035680n in the bn:00074595n before bn:00046516n bn:00082691v
`` what luck person `` he say swiftly,`` what bn:00019222n bn:00046516n `` he bn:00093287v bn:00115392r
person point upward,bn:00046516n bn:00086679v bn:00117522r
`` he be there `` he get_out tersely curb he rise excitement,`` he bn:00083183v there `` he bn:00088780v bn:00117226r bn:00085638v he rise bn:00032145n
hitch he cartridge_belt around person glance upward briefly at the location and start that way with person at he side,bn:00084175v he bn:00016336n bn:00114339r bn:00046516n bn:00088869v bn:00117522r bn:00114610r at the bn:00051760n and bn:00086602v that bn:00027352n with bn:00046516n at he bn:00071431n
climb the steps steadily they reach the top and head for the door,bn:00085120v the bn:00073853n bn:00117128r they bn:00082790v the bn:00023758n and bn:00089259v for the bn:00028248n
person push_through first,bn:00046516n bn:00083992v bn:00103006a
force behind he momentarily person follow at_once and halt two step inside,bn:00088458v behind he bn:00116271r bn:00046516n bn:00088421v bn:00114422r and bn:00089154v bn:00095950a bn:00035746n bn:00115906r
he eye widen,he bn:00032512n bn:00090301v
while five minute ago the place have present a scene of easy revelry with person a prominent figure it be now as somnolent and dull as the day before payday,while bn:00096027a bn:00055094n bn:00114178r the bn:00062700n have bn:00086557v a bn:00069551n of bn:00101974a bn:00067513n with bn:00046516n a bn:00108069a bn:00034390n it bn:00083181v bn:00116381r as bn:00110775a and bn:00101872a as the bn:00000086n before bn:00061115n
person himself be nowhere to be see,bn:00046516n himself bn:00083183v bn:00116387r to be bn:00093430v
a man knock_about the roulette_ball about idly in its track and another doze at one of the card_table,a bn:00001533n bn:00083171v the bn:00068374n about bn:00115725r in its bn:00023288n and another bn:00087209v at one of the bn:00015926n
two man murmur with they head together at the end of the bar while the sleek headed bartender absently polish a glass,bn:00095950a bn:00001533n bn:00090983v with they bn:00015784n bn:00117317r at the bn:00030718n of the bn:00008463n while the sleek bn:00104015a bn:00008600n bn:00114090r bn:00091821v a bn:00028756n
look the setup over person start coolly for the rear of the place,bn:00090448v the bn:00070733n over bn:00046516n bn:00086602v bn:00114855r for the bn:00007729n of the bn:00062700n
`` where yuh go ``,`` where yuh bn:00088912v ``
it be the barkeep,it bn:00083182v the bn:00008600n
halt person turn to survey he deliberately,bn:00089154v bn:00046516n bn:00095233v to bn:00094630v he bn:00114967r
he do not reply go_on toward the back,he do bn:00116360r bn:00082646v bn:00082394v toward the bn:00007729n
less assured than the tall wide shouldered man in_the_lead person follow alertly a hand on he gun butt,bn:00116104r bn:00097628a than the bn:00111630a bn:00098887a bn:00110586a bn:00001533n bn:00114188r bn:00046516n bn:00088421v bn:00114198r a bn:00042759n on he bn:00042221n bn:00014234n
the bartender measure this situation with heavy eye and decide he want no part of it,the bn:00008600n bn:00082720v this bn:00071869n with bn:00104053a bn:00032512n and bn:00086370v he bn:00086682v no bn:00060766n of it
he say no more,he bn:00082800v bn:00107314a more
a hall open in back of the bar run toward a ell,a bn:00042663n bn:00091167v in bn:00114473r of the bn:00008463n bn:00087905v toward a bn:00030399n
person move_into it,bn:00046516n bn:00085363v it
small room probably for cards open off on either side,bn:00106058a bn:00068233n bn:00114523r for bn:00015923n bn:00091172v off on either bn:00071431n
all the door be open at this hour except one and it be toward this that person make he way with person close at he shoulder,all the bn:00028247n bn:00083181v bn:00107879a at this bn:00044982n except one and it be toward this that bn:00046516n bn:00088789v he bn:00027352n with bn:00046516n bn:00114747r at he bn:00071294n
the door be lock,the bn:00028247n bn:00083181v lock
a single kick make it spring open shudder,a bn:00104971a bn:00012171n bn:00088736v it bn:00083824v bn:00107879a bn:00093639v
person see person stagger forward a half filled bottle upraised as if to strike,bn:00046516n bn:00093430v bn:00046516n bn:00084533v bn:00115431r a bn:00103877a bn:00102959a bn:00012339n bn:00105936a as if to bn:00094453v
person spring through to bat it nimbly aside,bn:00046516n bn:00083833v through to bn:00083154v it bn:00114177r bn:00114376r
with a bellow person lunge at he,with a bn:00009787n bn:00046516n bn:00089528v at he
but he be more than half drunk and he faculty be dulled,but he bn:00083181v more than bn:00103877a bn:00101836a and he bn:00032684n bn:00083181v bn:00098260a
person unleash a single powerful jab that send person reel wildly and crash down with a whine groan,bn:00046516n bn:00095410v a bn:00104971a bn:00105634a bn:00047786n that bn:00086868v bn:00046516n bn:00089137v bn:00117628r and bn:00085975v bn:00115109r with a whine bn:00041834n
he start to struggle up heave desperately,he bn:00083340v to bn:00085021v bn:00117522r bn:00089288v bn:00114997r
person give he a brutal thrust that tumble he over flat on he stomach,bn:00046516n bn:00088814v he a bn:00098042a bn:00049328n that bn:00094986v he over flat on he bn:00000249n
kneel person plant a sturdy knee in the small of he back hold he pin,bn:00090123v bn:00046516n bn:00087554v a bn:00103971a bn:00006140n in the bn:00072260n of he bn:00007727n bn:00085582v he pin
`` okay person,`` okay bn:00046516n
i have draw he fang `` he snap,i have bn:00087246v he fang `` he bn:00093963v
`` go through he pocket will you,`` bn:00088913v through he bn:00063155n will you
if we have to we 'll take_apart he apart and see what he be make of ``,if we have to we 'll bn:00086905v he apart and bn:00092443v what he be bn:00090555v of ``
comply methodically person pull pocket after pocket inside_out without find a thing,bn:00082139v bn:00116246r bn:00046516n bn:00087237v bn:00063155n after bn:00063155n bn:00115960r without bn:00086708v a bn:00076924n
person watch this with hunted eye he desperate hope wane by the moment,bn:00046516n bn:00088428v this with bn:00104408a bn:00032512n he bn:00101241a bn:00044736n bn:00095625v by the bn:00010728n
person be grunt over the last empty pocket when person abruptly rise and lunge toward person 's hat which have tumble half_a_dozen foot away when he first fell,bn:00046516n be bn:00089097v over the bn:00105740a bn:00102176a bn:00063155n when bn:00046516n bn:00114089r rise and bn:00089528v toward bn:00046516n 's bn:00017718n which have bn:00095219v bn:00000125n bn:00035680n bn:00114456r when he bn:00115377r bn:00086224v
person get it,bn:00046516n bn:00082276v it
straighten_up he eye ablaze he hold_out the battered stetson,bn:00087280v he bn:00032512n bn:00096147a he bn:00087903v the bn:00098129a bn:00033938n
`` look at this ``,`` bn:00090448v at this ``
inside the crown stuff behind the stained sweatband could be see thin crumpled wads of currency,inside the bn:00024073n bn:00093680v behind the bn:00111119a bn:00075529n could be bn:00093430v bn:00111843a crumpled bn:00028515n of bn:00024507n
person 's ingenious cache for he loot have be find,bn:00046516n 's ingenious bn:00014482n for he bn:00012193n have be bn:00086708v
`` by golly person,`` by golly bn:00046516n
you be right `` person exclaim tear the loose bill out of person 's hat,you bn:00083181v bn:00100490a `` bn:00046516n bn:00087811v bn:00086619v the loose bn:00008375n out of bn:00046516n 's bn:00017718n
`` that be if we can be sure this be person 's money ``,`` that be if we can bn:00083181v bn:00099475a this bn:00083182v bn:00046516n 's bn:00055644n ``
person grunt,bn:00046516n bn:00089097v
`` where else would he get it,`` where else would he bn:00082276v it
count what you have get there person,bn:00085859v what you have bn:00082276v there bn:00046516n
we can soon tell ``,we can bn:00114513r bn:00094863v ``
person run_through the bill and name a amount it be highly unlikely any cowpuncher would come_by honestly,bn:00046516n bn:00088968v the bn:00008375n and bn:00091006v a bn:00003601n it bn:00083181v highly bn:00104703a any bn:00016814n would bn:00085354v bn:00114084r
person nod,bn:00046516n bn:00091073v
`` it be within a hundred of what person have `` he declare,`` it bn:00083181v within a hundred of what bn:00046516n bn:00089240v `` he declare
